ip		px:		py:		pz:
310		2.80883		8.58091		1.65442
311		3.96325		8.58091		1.65442
312		5.11766		8.58091		1.65442
313		6.27208		8.58091		1.65442
314		7.42649		8.58091		1.65442
315		8.58091		8.58091		1.65442
316		9.73533		8.58091		1.65442
317		10.8897		8.58091		1.65442
318		12.0442		8.58091		1.65442
319		13.1986		8.58091		1.65442
320		14.353		8.58091		1.65442
321		15.5074		8.58091		1.65442
322		0.5		9.73533		1.65442
323		1.65442		9.73533		1.65442
324		2.80883		9.73533		1.65442
325		3.96325		9.73533		1.65442
326		5.11766		9.73533		1.65442
327		6.27208		9.73533		1.65442
328		7.42649		9.73533		1.65442
329		8.58091		9.73533		1.65442
330		9.73533		9.73533		1.65442
331		10.8897		9.73533		1.65442
332		12.0442		9.73533		1.65442
333		13.1986		9.73533		1.65442
334		14.353		9.73533		1.65442
335		15.5074		9.73533		1.65442
336		0.5		10.8897		1.65442
337		1.65442		10.8897		1.65442
338		2.80883		10.8897		1.65442
339		3.96325		10.8897		1.65442
340		5.11766		10.8897		1.65442
341		6.27208		10.8897		1.65442
342		7.42649		10.8897		1.65442
343		8.58091		10.8897		1.65442
344		9.73533		10.8897		1.65442
345		10.8897		10.8897		1.65442
346		12.0442		10.8897		1.65442
347		13.1986		10.8897		1.65442
348		14.353		10.8897		1.65442
349		15.5074		10.8897		1.65442
350		0.5		12.0442		1.65442
351		1.65442		12.0442		1.65442
352		2.80883		12.0442		1.65442
353		3.96325		12.0442		1.65442
354		5.11766		12.0442		1.65442
355		6.27208		12.0442		1.65442
356		7.42649		12.0442		1.65442
357		8.58091		12.0442		1.65442
358		9.73533		12.0442		1.65442
359		10.8897		12.0442		1.65442
360		12.0442		12.0442		1.65442
361		13.1986		12.0442		1.65442
362		14.353		12.0442		1.65442
363		15.5074		12.0442		1.65442
364		0.5		13.1986		1.65442
365		1.65442		13.1986		1.65442
366		2.80883		13.1986		1.65442
367		3.96325		13.1986		1.65442
368		5.11766		13.1986		1.65442
369		6.27208		13.1986		1.65442
370		7.42649		13.1986		1.65442
371		8.58091		13.1986		1.65442
372		9.73533		13.1986		1.65442
373		10.8897		13.1986		1.65442
374		12.0442		13.1986		1.65442
375		13.1986		13.1986		1.65442
376		14.353		13.1986		1.65442
377		15.5074		13.1986		1.65442
378		0.5		14.353		1.65442
379		1.65442		14.353		1.65442
380		2.80883		14.353		1.65442
381		3.96325		14.353		1.65442
382		5.11766		14.353		1.65442
383		6.27208		14.353		1.65442
384		7.42649		14.353		1.65442
